antecedent,consequent,support,confidence,lift,leverage,conviction,p_value_lift_perm,q_value_bh
ev_share_mid,make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.013493253373313344,0.019677661169415293
"ev_share_mid, make_OTHER/UNK_high",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.015492253873063468,0.019677661169415293
ev_share_mid,"make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01199400299850075,0.019677661169415293
"duty_light_majority, ev_share_mid",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01899050474762619,0.01999000499750125
ev_share_mid,"duty_light_majority, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.014992503748125937,0.019677661169415293
"duty_heavy_present, ev_share_mid",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.009995002498750625,0.019677661169415293
ev_share_mid,"duty_heavy_present, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.011494252873563218,0.019677661169415293
"duty_light_majority, ev_share_mid, make_OTHER/UNK_high",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.013993003498250875,0.019677661169415293
"duty_light_majority, ev_share_mid","make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01249375312343828,0.019677661169415293
"ev_share_mid, make_OTHER/UNK_high","duty_light_majority, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.017491254372813594,0.019677661169415293
ev_share_mid,"duty_light_majority, make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.015492253873063468,0.019677661169415293
"duty_heavy_present, ev_share_mid, make_OTHER/UNK_high",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.013493253373313344,0.019677661169415293
"duty_heavy_present, ev_share_mid","make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.014992503748125937,0.019677661169415293
"ev_share_mid, make_OTHER/UNK_high","duty_heavy_present, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.017491254372813594,0.019677661169415293
ev_share_mid,"duty_heavy_present, make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.014492753623188406,0.019677661169415293
"duty_heavy_present, duty_light_majority, ev_share_mid",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01249375312343828,0.019677661169415293
"duty_light_majority, ev_share_mid","duty_heavy_present, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01649175412293853,0.019677661169415293
"duty_heavy_present, ev_share_mid","duty_light_majority, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.015992003998001,0.019677661169415293
ev_share_mid,"duty_heavy_present, duty_light_majority, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.014492753623188406,0.019677661169415293
"duty_heavy_present, duty_light_majority, ev_share_mid, make_OTHER/UNK_high",make_TOYOTA_high,0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.012993503248375811,0.019677661169415293
"duty_heavy_present, duty_light_majority, ev_share_mid","make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.013993003498250875,0.019677661169415293
"duty_light_majority, ev_share_mid, make_OTHER/UNK_high","duty_heavy_present, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01999000499750125,0.01999000499750125
"duty_heavy_present, ev_share_mid, make_OTHER/UNK_high","duty_light_majority, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.014492753623188406,0.019677661169415293
"duty_light_majority, ev_share_mid","duty_heavy_present, make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.01999000499750125,0.01999000499750125
"duty_heavy_present, ev_share_mid","duty_light_majority, make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.013493253373313344,0.019677661169415293
"ev_share_mid, make_OTHER/UNK_high","duty_heavy_present, duty_light_majority, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.014992503748125937,0.019677661169415293
ev_share_mid,"duty_heavy_present, duty_light_majority, make_OTHER/UNK_high, make_TOYOTA_high",0.21428571428571427,0.6666666666666666,1.5555555555555556,0.07653061224489793,1.714285714285714,0.013493253373313344,0.019677661169415293
