task,model,test_year,rmse,mae,r2,threshold_train_median_ev_pct,accuracy,f1,roc_auc,cv_f1_train
regression,random_forest,2024,1.8819593722021222,1.2282009343112237,0.7166708148879621,,,,,
regression,ridge,2024,2.0445643789890804,1.481294498312318,0.6655952747689473,,,,,
classification,logistic_regression,2024,,,,6.654999999999999,0.8928571428571429,0.9333333333333333,0.979591836734694,0.8333333333333333
classification,random_forest,2024,,,,6.654999999999999,0.8214285714285714,0.8780487804878049,0.9183673469387755,0.8333333333333333
