date,zip_code,model_year,fuel,make,duty,vehicles,fuel_category,is_ev
12/31/2023,94108,<2010,Unk,OTHER/UNK,Unk,33,Other,0
12/31/2023,94102,2024,Gasoline,OTHER/UNK,Light,48,ICE_Gas,0
12/31/2023,94116,<2010,Gasoline,ACURA,Light,78,ICE_Gas,0
12/31/2023,94110,<2010,Gasoline,ACURA,Light,46,ICE_Gas,0
12/31/2023,94114,<2010,Gasoline,OTHER/UNK,Light,2631,ICE_Gas,0
12/31/2023,94117,<2010,Gasoline,OTHER/UNK,Light,2551,ICE_Gas,0
12/31/2023,94122,2014,Gasoline,OTHER/UNK,Light,267,ICE_Gas,0
12/31/2023,94110,2014,Gasoline,ACURA,Light,12,ICE_Gas,0
12/31/2023,94109,2015,Gasoline,HONDA,Light,108,ICE_Gas,0
12/31/2023,94123,2013,Hybrid Gasoline,OTHER/UNK,Light,35,Hybrid,0
12/31/2023,94114,2016,Gasoline,HONDA,Light,103,ICE_Gas,0
12/31/2023,94121,2016,Gasoline,HONDA,Light,178,ICE_Gas,0
12/31/2023,94134,2020,Gasoline,HONDA,Light,122,ICE_Gas,0
12/31/2023,94112,2018,Gasoline,HONDA,Light,412,ICE_Gas,0
12/31/2023,94133,2020,Gasoline,HONDA,Light,26,ICE_Gas,0
12/31/2023,94158,2022,Hybrid Gasoline,OTHER/UNK,Light,35,Hybrid,0
12/31/2023,94122,2022,Hybrid Gasoline,OTHER/UNK,Light,40,Hybrid,0
12/31/2023,94121,<2010,Gasoline,OTHER/UNK,Light,3188,ICE_Gas,0
12/31/2023,94107,<2010,Gasoline,OTHER/UNK,Light,2418,ICE_Gas,0
12/31/2023,94158,2017,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,4,Other,0
12/31/2023,94133,2013,Gasoline,OTHER/UNK,Light,248,ICE_Gas,0
12/31/2023,94124,2014,Flex-Fuel,OTHER/UNK,Light,56,Other,0
12/31/2023,94134,2015,Gasoline,JEEP,Light,26,ICE_Gas,0
12/31/2023,94132,2016,Gasoline,JEEP,Light,11,ICE_Gas,0
12/31/2023,94109,2015,Gasoline,JEEP,Light,44,ICE_Gas,0
12/31/2023,94114,2016,Gasoline,OTHER/UNK,Light,283,ICE_Gas,0
12/31/2023,94132,2017,Gasoline,OTHER/UNK,Light,387,ICE_Gas,0
