date,zip_code,model_year,fuel,make,duty,vehicles,fuel_category,is_ev
12/31/2023,94115,2014,Gasoline,JEEP,Light,31,ICE_Gas,0
12/31/2023,94107,2018,Gasoline,JEEP,Light,21,ICE_Gas,0
12/31/2023,94102,2020,Gasoline,OTHER/UNK,Light,256,ICE_Gas,0
12/31/2023,94118,2020,Gasoline,OTHER/UNK,Light,302,ICE_Gas,0
12/31/2023,94105,2020,Gasoline,OTHER/UNK,Light,231,ICE_Gas,0
12/31/2023,94127,2019,Gasoline,OTHER/UNK,Light,343,ICE_Gas,0
12/31/2023,94103,2018,Gasoline,OTHER/UNK,Light,349,ICE_Gas,0
12/31/2023,94122,2021,Diesel and Diesel Hybrid,OTHER/UNK,Light,10,Other,0
12/31/2023,94104,2022,Gasoline,OTHER/UNK,Light,64,ICE_Gas,0
12/31/2023,94102,2023,Plug-in Hybrid,OTHER/UNK,Light,16,Other,0
12/31/2023,94110,2021,Plug-in Hybrid,OTHER/UNK,Light,58,Other,0
12/31/2023,94158,2023,Plug-in Hybrid,OTHER/UNK,Light,17,Other,0
12/31/2023,94122,2018,Gasoline,OTHER/UNK,Light,328,ICE_Gas,0
12/31/2023,94118,2024,Plug-in Hybrid,OTHER/UNK,Light,24,Other,0
12/31/2023,94123,2024,Plug-in Hybrid,OTHER/UNK,Light,27,Other,0
12/31/2023,94133,2024,Plug-in Hybrid,OTHER/UNK,Light,7,Other,0
12/31/2023,94116,2022,Gasoline,OTHER/UNK,Light,317,ICE_Gas,0
12/31/2023,94110,2013,Flex-Fuel,OTHER/UNK,Light,43,Other,0
12/31/2023,94112,2021,Flex-Fuel,OTHER/UNK,Light,12,Other,0
12/31/2023,94124,2020,Gasoline,OTHER/UNK,Light,433,ICE_Gas,0
12/31/2023,94110,2015,Gasoline,OTHER/UNK,Light,391,ICE_Gas,0
12/31/2023,94123,2020,Gasoline,OTHER/UNK,Light,294,ICE_Gas,0
12/31/2023,94132,<2010,Flex-Fuel,OTHER/UNK,Light,62,Other,0
12/31/2023,94102,<2010,Flex-Fuel,OTHER/UNK,Light,50,Other,0
12/31/2023,94134,2015,Gasoline,OTHER/UNK,Light,354,ICE_Gas,0
12/31/2023,94110,2016,Flex-Fuel,OTHER/UNK,Light,30,Other,0
12/31/2023,94127,2014,Flex-Fuel,OTHER/UNK,Light,10,Other,0
12/31/2023,94129,2013,Flex-Fuel,OTHER/UNK,Light,6,Other,0
12/31/2023,94131,2014,Gasoline,OTHER/UNK,Light,281,ICE_Gas,0
12/31/2023,94124,2015,Hybrid Gasoline,FORD,Light,18,Hybrid,0
12/31/2023,94114,2015,Plug-in Hybrid,OTHER/UNK,Light,21,Other,0
12/31/2023,94109,2016,Plug-in Hybrid,OTHER/UNK,Light,19,Other,0
12/31/2023,94121,2017,Plug-in Hybrid,OTHER/UNK,Light,19,Other,0
12/31/2023,94122,<2010,Gasoline,FORD,Light,11,ICE_Gas,0
12/31/2023,94116,2011,Gasoline,OTHER/UNK,Light,296,ICE_Gas,0
12/31/2023,94115,2022,Flex-Fuel,OTHER/UNK,Light,3,Other,0
12/31/2023,94116,2018,Gasoline,OTHER/UNK,Light,362,ICE_Gas,0
12/31/2023,94124,2022,Flex-Fuel,FORD,Light,62,Other,0
12/31/2023,94105,2022,Flex-Fuel,FORD,Light,16,Other,0
12/31/2023,94132,2020,Flex-Fuel,OTHER/UNK,Light,8,Other,0
12/31/2023,94124,2022,Flex-Fuel,FORD,Heavy,26,Other,0
12/31/2023,94112,2014,Flex-Fuel,OTHER/UNK,Heavy,3,Other,0
12/31/2023,94124,2012,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,74,Other,0
12/31/2023,94116,2018,Flex-Fuel,OTHER/UNK,Light,22,Other,0
12/31/2023,94124,2012,Diesel and Diesel Hybrid,OTHER/UNK,Light,16,Other,0
12/31/2023,94103,2019,Flex-Fuel,OTHER/UNK,Light,14,Other,0
12/31/2023,94105,2020,Flex-Fuel,OTHER/UNK,Light,9,Other,0
12/31/2023,94112,2014,Flex-Fuel,OTHER/UNK,Light,49,Other,0
12/31/2023,94105,2020,Flex-Fuel,OTHER/UNK,Heavy,1,Other,0
12/31/2023,94129,2013,Flex-Fuel,OTHER/UNK,Heavy,3,Other,0
12/31/2023,94121,<2010,Gasoline,OTHER/UNK,Heavy,26,ICE_Gas,0
12/31/2023,94114,<2010,Gasoline,OTHER/UNK,Heavy,25,ICE_Gas,0
12/31/2023,94107,<2010,Gasoline,OTHER/UNK,Heavy,47,ICE_Gas,0
12/31/2023,94104,2021,Flex-Fuel,OTHER/UNK,Light,5,Other,0
12/31/2023,94127,2022,Gasoline,OTHER/UNK,Heavy,2,ICE_Gas,0
12/31/2023,94122,2012,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,6,Other,0
12/31/2023,94133,<2010,Flex-Fuel,OTHER/UNK,Heavy,1,Other,0
12/31/2023,94132,<2010,Flex-Fuel,OTHER/UNK,Heavy,2,Other,0
12/31/2023,94103,2019,Flex-Fuel,OTHER/UNK,Heavy,1,Other,0
12/31/2023,94103,2018,Gasoline,OTHER/UNK,Heavy,4,ICE_Gas,0
12/31/2023,94117,<2010,Gasoline,OTHER/UNK,Heavy,20,ICE_Gas,0
12/31/2023,94105,2017,Gasoline,OTHER/UNK,Light,237,ICE_Gas,0
12/31/2023,94128,2013,Gasoline,OTHER/UNK,Light,23,ICE_Gas,0
12/31/2023,94127,2013,Gasoline,OTHER/UNK,Light,295,ICE_Gas,0
12/31/2023,94130,2017,Gasoline,OTHER/UNK,Light,49,ICE_Gas,0
12/31/2023,94132,2020,Gasoline,OTHER/UNK,Light,304,ICE_Gas,0
12/31/2023,94107,2020,Hybrid Gasoline,OTHER/UNK,Light,49,Hybrid,0
12/31/2023,94124,2023,Plug-in Hybrid,OTHER/UNK,Light,31,Other,0
12/31/2023,94114,2012,Flex-Fuel,OTHER/UNK,Light,4,Other,0
12/31/2023,94118,2017,Gasoline,FORD,Light,11,ICE_Gas,0
12/31/2023,94105,<2010,Hybrid Gasoline,OTHER/UNK,Light,53,Hybrid,0
12/31/2023,94134,<2010,Hybrid Gasoline,OTHER/UNK,Light,83,Hybrid,0
12/31/2023,94122,2011,Gasoline,OTHER/UNK,Light,268,ICE_Gas,0
12/31/2023,94128,2013,Flex-Fuel,OTHER/UNK,Light,11,Other,0
12/31/2023,94115,2023,Battery Electric,FORD,Light,18,EV,1
12/31/2023,94124,2023,Gasoline,FORD,Light,44,ICE_Gas,0
12/31/2023,94121,2021,Gasoline,FORD,Light,11,ICE_Gas,0
12/31/2023,94115,2019,Gasoline,OTHER/UNK,Light,302,ICE_Gas,0
12/31/2023,94116,2010,Gasoline,OTHER/UNK,Light,254,ICE_Gas,0
12/31/2023,94122,2018,Gasoline,FORD,Light,25,ICE_Gas,0
12/31/2023,94131,2018,Flex-Fuel,OTHER/UNK,Light,7,Other,0
12/31/2023,94107,2021,Flex-Fuel,FORD,Light,11,Other,0
12/31/2023,94134,2012,Gasoline,OTHER/UNK,Light,246,ICE_Gas,0
12/31/2023,94131,2013,Gasoline,OTHER/UNK,Light,286,ICE_Gas,0
12/31/2023,94105,2010,Flex-Fuel,OTHER/UNK,Light,1,Other,0
12/31/2023,94132,2012,Gasoline,OTHER/UNK,Light,241,ICE_Gas,0
12/31/2023,94123,2010,Flex-Fuel,OTHER/UNK,Light,6,Other,0
12/31/2023,94122,2017,Flex-Fuel,OTHER/UNK,Light,17,Other,0
12/31/2023,94130,2012,Flex-Fuel,OTHER/UNK,Light,3,Other,0
12/31/2023,94105,<2010,Flex-Fuel,OTHER/UNK,Light,5,Other,0
12/31/2023,94104,2017,Gasoline,OTHER/UNK,Light,33,ICE_Gas,0
12/31/2023,94114,<2010,Flex-Fuel,OTHER/UNK,Light,31,Other,0
12/31/2023,94124,2015,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,83,Other,0
12/31/2023,94112,2022,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,15,Other,0
12/31/2023,94117,2023,Battery Electric,CHEVROLET,Light,35,EV,1
12/31/2023,94129,2018,Plug-in Hybrid,OTHER/UNK,Light,4,Other,0
12/31/2023,94118,2016,Plug-in Hybrid,OTHER/UNK,Light,16,Other,0
12/31/2023,94115,2017,Diesel and Diesel Hybrid,OTHER/UNK,Light,10,Other,0
12/31/2023,94112,2016,Gasoline,CHEVROLET,Light,13,ICE_Gas,0
12/31/2023,94112,2021,Gasoline,OTHER/UNK,Light,293,ICE_Gas,0
12/31/2023,94134,2012,Flex-Fuel,OTHER/UNK,Light,28,Other,0
12/31/2023,94124,2018,Diesel and Diesel Hybrid,OTHER/UNK,Light,20,Other,0
12/31/2023,94124,2017,Diesel and Diesel Hybrid,OTHER/UNK,Light,34,Other,0
12/31/2023,94121,2012,Flex-Fuel,OTHER/UNK,Light,18,Other,0
12/31/2023,94103,2014,Flex-Fuel,OTHER/UNK,Light,25,Other,0
12/31/2023,94121,2012,Flex-Fuel,OTHER/UNK,Heavy,2,Other,0
12/31/2023,94112,2012,Gasoline,OTHER/UNK,Light,308,ICE_Gas,0
12/31/2023,94110,2012,Flex-Fuel,OTHER/UNK,Light,40,Other,0
12/31/2023,94118,2018,Diesel and Diesel Hybrid,OTHER/UNK,Light,7,Other,0
12/31/2023,94124,2015,Diesel and Diesel Hybrid,OTHER/UNK,Light,30,Other,0
12/31/2023,94122,2011,Gasoline,OTHER/UNK,Heavy,1,ICE_Gas,0
12/31/2023,94124,2017,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,104,Other,0
12/31/2023,94104,2015,Gasoline,OTHER/UNK,Light,24,ICE_Gas,0
12/31/2023,94115,<2010,Gasoline,HONDA,Light,226,ICE_Gas,0
12/31/2023,94122,2010,Gasoline,HONDA,Light,153,ICE_Gas,0
12/31/2023,94109,2012,Gasoline,HONDA,Light,93,ICE_Gas,0
12/31/2023,94108,2020,Hybrid Gasoline,OTHER/UNK,Light,27,Hybrid,0
12/31/2023,94131,2018,Hybrid Gasoline,OTHER/UNK,Light,44,Hybrid,0
12/31/2023,94112,2013,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,7,Other,0
12/31/2023,94112,2017,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,11,Other,0
12/31/2023,94127,2011,Gasoline,OTHER/UNK,Light,216,ICE_Gas,0
12/31/2023,94121,2021,Battery Electric,OTHER/UNK,Light,43,EV,1
12/31/2023,94116,<2010,Gasoline,TOYOTA,Light,1717,ICE_Gas,0
12/31/2023,94134,<2010,Gasoline,TOYOTA,Light,2054,ICE_Gas,0
12/31/2023,94112,2010,Gasoline,TOYOTA,Light,388,ICE_Gas,0
12/31/2023,94103,2013,Diesel and Diesel Hybrid,OTHER/UNK,Light,6,Other,0
12/31/2023,94133,<2010,Flex-Fuel,OTHER/UNK,Light,30,Other,0
12/31/2023,94109,2021,Plug-in Hybrid,OTHER/UNK,Light,47,Other,0
12/31/2023,94134,2021,Plug-in Hybrid,OTHER/UNK,Light,23,Other,0
12/31/2023,94108,2022,Plug-in Hybrid,OTHER/UNK,Light,8,Other,0
12/31/2023,94102,2020,Flex-Fuel,OTHER/UNK,Light,2,Other,0
12/31/2023,94158,2016,Flex-Fuel,OTHER/UNK,Light,1,Other,0
12/31/2023,94118,2012,Gasoline,HONDA,Light,90,ICE_Gas,0
12/31/2023,94127,2022,Gasoline,OTHER/UNK,Light,273,ICE_Gas,0
12/31/2023,94112,<2010,Gasoline,ACURA,Light,245,ICE_Gas,0
12/31/2023,94114,2013,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,2,Other,0
12/31/2023,94117,2019,Gasoline,TOYOTA,Light,43,ICE_Gas,0
12/31/2023,94158,2019,Gasoline,OTHER/UNK,Light,199,ICE_Gas,0
12/31/2023,94122,<2010,Gasoline,TOYOTA,Light,2095,ICE_Gas,0
12/31/2023,94121,2024,Hybrid Gasoline,OTHER/UNK,Light,39,Hybrid,0
12/31/2023,94114,2024,Hybrid Gasoline,OTHER/UNK,Light,31,Hybrid,0
12/31/2023,94112,2019,Hybrid Gasoline,LEXUS,Light,41,Hybrid,0
12/31/2023,94124,2010,Gasoline,LEXUS,Light,39,ICE_Gas,0
12/31/2023,94124,2017,Gasoline,LEXUS,Light,49,ICE_Gas,0
12/31/2023,94115,2022,Hybrid Gasoline,OTHER/UNK,Light,67,Hybrid,0
12/31/2023,94116,<2010,Gasoline,LEXUS,Light,331,ICE_Gas,0
12/31/2023,94124,2022,Hybrid Gasoline,LEXUS,Light,11,Hybrid,0
12/31/2023,94121,2023,Gasoline,TOYOTA,Light,99,ICE_Gas,0
12/31/2023,94117,2021,Gasoline,TOYOTA,Light,35,ICE_Gas,0
12/31/2023,94122,2024,Hybrid Gasoline,TOYOTA,Light,29,Hybrid,0
12/31/2023,94131,<2010,Gasoline,TOYOTA,Light,255,ICE_Gas,0
12/31/2023,94112,2011,Gasoline,TOYOTA,Light,334,ICE_Gas,0
12/31/2023,94116,2012,Gasoline,TOYOTA,Light,160,ICE_Gas,0
12/31/2023,94124,2010,Gasoline,TOYOTA,Light,107,ICE_Gas,0
12/31/2023,94112,2018,Gasoline,TOYOTA,Light,537,ICE_Gas,0
12/31/2023,94122,2015,Gasoline,TOYOTA,Light,248,ICE_Gas,0
12/31/2023,94114,2019,Gasoline,TOYOTA,Light,12,ICE_Gas,0
12/31/2023,94108,2015,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,1,Other,0
12/31/2023,94112,2018,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,11,Other,0
12/31/2023,94107,2016,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,19,Other,0
12/31/2023,94124,2018,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,96,Other,0
12/31/2023,94123,2015,Gasoline,FIAT,Light,13,ICE_Gas,0
12/31/2023,94112,2013,Battery Electric,OTHER/UNK,Light,12,EV,1
12/31/2023,94112,2015,Battery Electric,FIAT,Light,11,EV,1
12/31/2023,94133,2015,Battery Electric,OTHER/UNK,Light,7,EV,1
12/31/2023,94122,2018,Flex-Fuel,OTHER/UNK,Light,16,Other,0
12/31/2023,94131,2019,Flex-Fuel,OTHER/UNK,Light,6,Other,0
12/31/2023,94104,2014,Flex-Fuel,OTHER/UNK,Light,3,Other,0
12/31/2023,94103,2013,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,2,Other,0
12/31/2023,94108,2019,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,2,Other,0
12/31/2023,94112,2022,Gasoline,HONDA,Light,251,ICE_Gas,0
12/31/2023,94116,2021,Gasoline,HONDA,Light,54,ICE_Gas,0
12/31/2023,94103,2022,Gasoline,HONDA,Light,48,ICE_Gas,0
12/31/2023,94123,2019,Plug-in Hybrid,OTHER/UNK,Light,39,Other,0
12/31/2023,94105,2012,Gasoline,OTHER/UNK,Light,124,ICE_Gas,0
12/31/2023,94131,2022,Battery Electric,OTHER/UNK,Light,96,EV,1
12/31/2023,94115,2021,Battery Electric,OTHER/UNK,Light,45,EV,1
12/31/2023,94121,2023,Battery Electric,OTHER/UNK,Light,88,EV,1
12/31/2023,94117,2024,Gasoline,OTHER/UNK,Light,63,ICE_Gas,0
12/31/2023,94133,2013,Flex-Fuel,OTHER/UNK,Light,9,Other,0
12/31/2023,94112,2022,Diesel and Diesel Hybrid,OTHER/UNK,Light,11,Other,0
12/31/2023,94118,2014,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,4,Other,0
12/31/2023,94104,2023,Gasoline,KIA,Light,102,ICE_Gas,0
12/31/2023,94131,2019,Hybrid Gasoline,OTHER/UNK,Light,40,Hybrid,0
12/31/2023,94107,2024,Gasoline,OTHER/UNK,Light,79,ICE_Gas,0
12/31/2023,94115,2019,Gasoline,BMW,Light,71,ICE_Gas,0
12/31/2023,94123,2019,Gasoline,BMW,Light,51,ICE_Gas,0
12/31/2023,94114,2023,Gasoline,TOYOTA,Light,14,ICE_Gas,0
12/31/2023,94104,2018,Gasoline,OTHER/UNK,Light,33,ICE_Gas,0
12/31/2023,94118,2018,Gasoline,VOLKSWAGEN,Light,33,ICE_Gas,0
12/31/2023,94131,2017,Gasoline,VOLKSWAGEN,Light,68,ICE_Gas,0
12/31/2023,94117,2016,Gasoline,VOLKSWAGEN,Light,34,ICE_Gas,0
12/31/2023,94111,2015,Gasoline,OTHER/UNK,Light,97,ICE_Gas,0
12/31/2023,94114,2019,Gasoline,VOLKSWAGEN,Light,41,ICE_Gas,0
12/31/2023,94117,2021,Gasoline,VOLKSWAGEN,Light,31,ICE_Gas,0
12/31/2023,94108,2014,Diesel and Diesel Hybrid,OTHER/UNK,Light,6,Other,0
12/31/2023,94127,2010,Diesel and Diesel Hybrid,OTHER/UNK,Light,5,Other,0
12/31/2023,94118,2012,Diesel and Diesel Hybrid,OTHER/UNK,Light,10,Other,0
12/31/2023,94121,2016,Gasoline,MERCEDES-BENZ,Light,16,ICE_Gas,0
12/31/2023,94117,2017,Plug-in Hybrid,OTHER/UNK,Light,23,Other,0
12/31/2023,94116,2013,Gasoline,SUBARU,Light,54,ICE_Gas,0
12/31/2023,94109,2018,Gasoline,SUBARU,Light,82,ICE_Gas,0
12/31/2023,94121,2015,Gasoline,SUBARU,Light,97,ICE_Gas,0
12/31/2023,94112,2019,Gasoline,SUBARU,Light,139,ICE_Gas,0
12/31/2023,94127,2018,Gasoline,SUBARU,Light,48,ICE_Gas,0
12/31/2023,94112,2021,Gasoline,SUBARU,Light,99,ICE_Gas,0
12/31/2023,94124,2018,Gasoline,TOYOTA,Light,247,ICE_Gas,0
12/31/2023,94127,2018,Hybrid Gasoline,OTHER/UNK,Light,44,Hybrid,0
12/31/2023,94118,2011,Hybrid Gasoline,TOYOTA,Light,44,Hybrid,0
12/31/2023,94131,2010,Hybrid Gasoline,TOYOTA,Light,78,Hybrid,0
12/31/2023,94130,<2010,Hybrid Gasoline,OTHER/UNK,Light,11,Hybrid,0
12/31/2023,94112,2014,Gasoline,TOYOTA,Light,392,ICE_Gas,0
12/31/2023,94116,2015,Gasoline,TOYOTA,Light,225,ICE_Gas,0
12/31/2023,94110,2020,Gasoline,TOYOTA,Light,145,ICE_Gas,0
12/31/2023,94124,2023,Gasoline,TOYOTA,Light,176,ICE_Gas,0
12/31/2023,94103,2020,Hybrid Gasoline,TOYOTA,Light,45,Hybrid,0
12/31/2023,94129,2023,Hybrid Gasoline,OTHER/UNK,Light,21,Hybrid,0
12/31/2023,94127,<2010,Gasoline,TOYOTA,Light,205,ICE_Gas,0
12/31/2023,94103,2024,Gasoline,FREIGHTLINER,Heavy,28,ICE_Gas,0
12/31/2023,94104,2022,Gasoline,OTHER/UNK,Heavy,5,ICE_Gas,0
12/31/2023,94103,2023,Battery Electric,OTHER/UNK,Light,93,EV,1
12/31/2023,94107,2024,Gasoline,OTHER/UNK,Heavy,1,ICE_Gas,0
12/31/2023,94127,2019,Gasoline,MERCEDES-BENZ,Light,29,ICE_Gas,0
12/31/2023,94116,2010,Gasoline,HONDA,Light,129,ICE_Gas,0
12/31/2023,94124,2012,Gasoline,HONDA,Light,111,ICE_Gas,0
12/31/2023,94110,2020,Gasoline,HONDA,Light,157,ICE_Gas,0
12/31/2023,94112,2017,Gasoline,ACURA,Light,43,ICE_Gas,0
12/31/2023,94131,2020,Plug-in Hybrid,OTHER/UNK,Light,25,Other,0
12/31/2023,94132,2016,Gasoline,NISSAN,Light,29,ICE_Gas,0
12/31/2023,94112,2014,Hybrid Gasoline,OTHER/UNK,Light,39,Hybrid,0
12/31/2023,94124,2017,Gasoline,HYUNDAI,Light,31,ICE_Gas,0
12/31/2023,94122,2014,Gasoline,HYUNDAI,Light,16,ICE_Gas,0
12/31/2023,94110,2020,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,21,Other,0
12/31/2023,94127,2023,Hybrid Gasoline,TOYOTA,Light,31,Hybrid,0
12/31/2023,94109,2024,Hybrid Gasoline,OTHER/UNK,Light,40,Hybrid,0
12/31/2023,94110,2024,Hybrid Gasoline,OTHER/UNK,Light,38,Hybrid,0
12/31/2023,94123,2023,Hybrid Gasoline,OTHER/UNK,Light,24,Hybrid,0
12/31/2023,94121,2013,Gasoline,TOYOTA,Light,129,ICE_Gas,0
12/31/2023,94134,2022,Gasoline,TOYOTA,Light,183,ICE_Gas,0
12/31/2023,94118,2018,Hybrid Gasoline,TOYOTA,Light,50,Hybrid,0
12/31/2023,94110,2011,Gasoline,TOYOTA,Light,130,ICE_Gas,0
12/31/2023,94133,2014,Gasoline,TOYOTA,Light,41,ICE_Gas,0
12/31/2023,94110,2022,Hybrid Gasoline,TOYOTA,Light,88,Hybrid,0
12/31/2023,94109,2017,Gasoline,TOYOTA,Light,127,ICE_Gas,0
12/31/2023,94123,2018,Gasoline,TOYOTA,Light,38,ICE_Gas,0
12/31/2023,94123,2021,Gasoline,TOYOTA,Light,34,ICE_Gas,0
12/31/2023,94103,2017,Gasoline,TOYOTA,Light,65,ICE_Gas,0
12/31/2023,94124,2022,Gasoline,TOYOTA,Light,155,ICE_Gas,0
12/31/2023,94122,2019,Gasoline,BMW,Light,46,ICE_Gas,0
12/31/2023,94112,<2010,Gasoline,BMW,Light,148,ICE_Gas,0
12/31/2023,94118,2023,Plug-in Hybrid,OTHER/UNK,Light,38,Other,0
12/31/2023,94117,2016,Diesel and Diesel Hybrid,OTHER/UNK,Light,9,Other,0
12/31/2023,94123,2012,Diesel and Diesel Hybrid,OTHER/UNK,Light,6,Other,0
12/31/2023,94134,2017,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,18,Other,0
12/31/2023,94122,2024,Gasoline,TOYOTA,Light,12,ICE_Gas,0
12/31/2023,94107,2022,Gasoline,TOYOTA,Light,26,ICE_Gas,0
12/31/2023,94107,2020,Gasoline,TOYOTA,Light,49,ICE_Gas,0
12/31/2023,94117,2022,Gasoline,TOYOTA,Light,27,ICE_Gas,0
12/31/2023,94132,2019,Battery Electric,TESLA,Light,30,EV,1
12/31/2023,94121,2021,Battery Electric,TESLA,Light,131,EV,1
12/31/2023,94111,2021,Battery Electric,TESLA,Light,11,EV,1
12/31/2023,94114,2021,Battery Electric,TESLA,Light,204,EV,1
12/31/2023,94116,2023,Battery Electric,TESLA,Light,431,EV,1
12/31/2023,94105,2019,Battery Electric,TESLA,Light,26,EV,1
12/31/2023,94127,2010,Battery Electric,OTHER/UNK,Light,1,EV,1
12/31/2023,94123,2012,Battery Electric,OTHER/UNK,Light,5,EV,1
12/31/2023,94114,2017,Battery Electric,TESLA,Light,16,EV,1
12/31/2023,94117,2018,Battery Electric,TESLA,Light,96,EV,1
12/31/2023,94105,2022,Battery Electric,TESLA,Light,157,EV,1
12/31/2023,94132,2021,Battery Electric,TESLA,Light,99,EV,1
12/31/2023,94132,2017,Gasoline,OTHER/UNK,Heavy,3,ICE_Gas,0
12/31/2023,94131,2023,Plug-in Hybrid,OTHER/UNK,Light,42,Other,0
12/31/2023,94117,2023,Battery Electric,RIVIAN,Light,12,EV,1
12/31/2023,94131,2022,Battery Electric,TESLA,Light,186,EV,1
12/31/2023,94131,2023,Battery Electric,TESLA,Light,214,EV,1
12/31/2023,94118,2023,Hybrid Gasoline,OTHER/UNK,Light,47,Hybrid,0
12/31/2023,94112,2019,Plug-in Hybrid,OTHER/UNK,Light,46,Other,0
12/31/2023,94131,2020,Gasoline,SUBARU,Light,65,ICE_Gas,0
12/31/2023,94112,2020,Gasoline,SUBARU,Light,115,ICE_Gas,0
12/31/2023,94121,2020,Gasoline,SUBARU,Light,64,ICE_Gas,0
12/31/2023,94115,2020,Plug-in Hybrid,OTHER/UNK,Light,31,Other,0
12/31/2023,94130,2020,Plug-in Hybrid,OTHER/UNK,Light,1,Other,0
12/31/2023,94111,2021,Plug-in Hybrid,OTHER/UNK,Light,14,Other,0
12/31/2023,94102,2021,Plug-in Hybrid,OTHER/UNK,Light,11,Other,0
12/31/2023,94134,2014,Gasoline,SUBARU,Light,44,ICE_Gas,0
12/31/2023,94132,2015,Gasoline,SUBARU,Light,36,ICE_Gas,0
12/31/2023,94134,2018,Gasoline,SUBARU,Light,51,ICE_Gas,0
12/31/2023,94132,2020,Gasoline,SUBARU,Light,26,ICE_Gas,0
12/31/2023,94102,<2010,Hybrid Gasoline,OTHER/UNK,Light,57,Hybrid,0
12/31/2023,94111,<2010,Hybrid Gasoline,OTHER/UNK,Light,17,Hybrid,0
12/31/2023,94107,2012,Hybrid Gasoline,OTHER/UNK,Light,28,Hybrid,0
12/31/2023,94127,2010,Gasoline,HONDA,Light,40,ICE_Gas,0
12/31/2023,94112,2020,Plug-in Hybrid,OTHER/UNK,Light,24,Other,0
12/31/2023,94109,2018,Plug-in Hybrid,OTHER/UNK,Light,28,Other,0
12/31/2023,94102,2018,Plug-in Hybrid,OTHER/UNK,Light,19,Other,0
12/31/2023,94114,2019,Gasoline,MAZDA,Light,50,ICE_Gas,0
12/31/2023,94117,2021,Gasoline,MAZDA,Light,72,ICE_Gas,0
12/31/2023,94103,2024,Plug-in Hybrid,OTHER/UNK,Light,12,Other,0
12/31/2023,94127,<2010,Gasoline,LEXUS,Light,15,ICE_Gas,0
12/31/2023,94158,2021,Hydrogen Fuel Cell,OTHER/UNK,Light,1,Other,0
12/31/2023,94127,2022,Hydrogen Fuel Cell,OTHER/UNK,Light,2,Other,0
12/31/2023,94132,2023,Hybrid Gasoline,TOYOTA,Light,108,Hybrid,0
