date,zip_code,model_year,fuel,make,duty,vehicles,fuel_category,is_ev
12/31/2022,94102,2008,Gasoline,OTHER/UNK,Light,69,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,OTHER/UNK,Unk,13,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,FORD,Light,11,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,MERCEDES-BENZ,Light,12,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,HONDA,Light,30,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,TOYOTA,Light,20,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,MAZDA,Light,11,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,BMW,Light,12,ICE_Gas,0
12/31/2022,94102,2008,Gasoline,LEXUS,Light,15,ICE_Gas,0
12/31/2022,94102,2008,Hybrid Gasoline,OTHER/UNK,Light,12,Hybrid,0
12/31/2022,94102,2008,Hybrid Gasoline,TOYOTA,Light,25,Hybrid,0
12/31/2022,94102,2008,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,2,Other,0
12/31/2022,94102,2008,Flex-Fuel,OTHER/UNK,Light,7,Other,0
12/31/2022,94102,2009,Gasoline,OTHER/UNK,Light,68,ICE_Gas,0
12/31/2022,94102,2009,Gasoline,OTHER/UNK,Unk,11,ICE_Gas,0
12/31/2022,94102,2009,Gasoline,HONDA,Light,20,ICE_Gas,0
12/31/2022,94102,2009,Gasoline,NISSAN,Light,14,ICE_Gas,0
12/31/2022,94102,2009,Gasoline,TOYOTA,Light,37,ICE_Gas,0
12/31/2022,94102,2009,Gasoline,BMW,Light,16,ICE_Gas,0
12/31/2022,94102,2009,Hybrid Gasoline,OTHER/UNK,Light,7,Hybrid,0
12/31/2022,94102,2009,Hybrid Gasoline,TOYOTA,Light,15,Hybrid,0
12/31/2022,94102,2009,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,1,Other,0
12/31/2022,94102,2009,Diesel and Diesel Hybrid,OTHER/UNK,Light,1,Other,0
12/31/2022,94102,2009,Diesel and Diesel Hybrid,OTHER/UNK,Unk,1,Other,0
12/31/2022,94102,2009,Flex-Fuel,OTHER/UNK,Light,3,Other,0
12/31/2022,94102,2010,Gasoline,OTHER/UNK,Light,92,ICE_Gas,0
12/31/2022,94102,2010,Gasoline,OTHER/UNK,Unk,9,ICE_Gas,0
12/31/2022,94102,2010,Gasoline,HONDA,Light,38,ICE_Gas,0
12/31/2022,94102,2010,Gasoline,NISSAN,Light,12,ICE_Gas,0
12/31/2022,94102,2010,Gasoline,TOYOTA,Light,40,ICE_Gas,0
12/31/2022,94102,2010,Gasoline,MINI,Light,11,ICE_Gas,0
12/31/2022,94102,2010,Hybrid Gasoline,OTHER/UNK,Light,13,Hybrid,0
12/31/2022,94102,2010,Hybrid Gasoline,TOYOTA,Light,34,Hybrid,0
12/31/2022,94102,2010,Flex-Fuel,OTHER/UNK,Light,5,Other,0
12/31/2022,94102,2010,Flex-Fuel,OTHER/UNK,Unk,2,Other,0
12/31/2022,94102,2011,Gasoline,OTHER/UNK,Light,93,ICE_Gas,0
12/31/2022,94102,2011,Gasoline,OTHER/UNK,Unk,11,ICE_Gas,0
12/31/2022,94102,2011,Gasoline,HONDA,Light,26,ICE_Gas,0
12/31/2022,94102,2011,Gasoline,NISSAN,Light,12,ICE_Gas,0
12/31/2022,94102,2011,Gasoline,TOYOTA,Light,29,ICE_Gas,0
12/31/2022,94102,2011,Gasoline,MAZDA,Light,12,ICE_Gas,0
12/31/2022,94102,2011,Gasoline,BMW,Light,19,ICE_Gas,0
12/31/2022,94102,2011,Hybrid Gasoline,OTHER/UNK,Light,6,Hybrid,0
12/31/2022,94102,2011,Hybrid Gasoline,TOYOTA,Light,23,Hybrid,0
12/31/2022,94102,2011,Unk,OTHER/UNK,Unk,1,Other,0
12/31/2022,94102,2011,Diesel and Diesel Hybrid,OTHER/UNK,Light,1,Other,0
12/31/2022,94102,2011,Flex-Fuel,OTHER/UNK,Light,14,Other,0
12/31/2022,94102,2011,Flex-Fuel,OTHER/UNK,Unk,2,Other,0
12/31/2022,94102,2012,Gasoline,OTHER/UNK,Light,70,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,OTHER/UNK,Unk,8,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,FORD,Light,15,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,VOLKSWAGEN,Light,14,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,HONDA,Light,43,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,NISSAN,Light,18,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,TOYOTA,Light,48,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,HYUNDAI,Light,17,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,MINI,Light,13,ICE_Gas,0
12/31/2022,94102,2012,Gasoline,FIAT,Light,14,ICE_Gas,0
12/31/2022,94102,2012,Hybrid Gasoline,OTHER/UNK,Light,13,Hybrid,0
12/31/2022,94102,2012,Hybrid Gasoline,TOYOTA,Light,33,Hybrid,0
12/31/2022,94102,2012,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,1,Other,0
12/31/2022,94102,2012,Diesel and Diesel Hybrid,OTHER/UNK,Light,1,Other,0
12/31/2022,94102,2012,Flex-Fuel,OTHER/UNK,Light,10,Other,0
12/31/2022,94102,2012,Flex-Fuel,OTHER/UNK,Unk,2,Other,0
12/31/2022,94102,2012,Battery Electric,OTHER/UNK,Light,1,EV,1
12/31/2022,94102,2012,Plug-in Hybrid,OTHER/UNK,Light,1,Other,0
12/31/2022,94102,2013,Gasoline,OTHER/UNK,Light,60,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,OTHER/UNK,Unk,10,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,FORD,Light,13,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,CHEVROLET,Light,14,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,VOLKSWAGEN,Light,22,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,HONDA,Light,42,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,NISSAN,Light,18,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,TOYOTA,Light,44,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,BMW,Light,18,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,HYUNDAI,Light,22,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,KIA,Light,12,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,MINI,Light,15,ICE_Gas,0
12/31/2022,94102,2013,Gasoline,SUBARU,Light,16,ICE_Gas,0
12/31/2022,94102,2013,Hybrid Gasoline,OTHER/UNK,Light,16,Hybrid,0
12/31/2022,94102,2013,Hybrid Gasoline,TOYOTA,Light,52,Hybrid,0
12/31/2022,94102,2013,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,3,Other,0
12/31/2022,94102,2013,Diesel and Diesel Hybrid,OTHER/UNK,Light,4,Other,0
12/31/2022,94102,2013,Flex-Fuel,OTHER/UNK,Light,12,Other,0
12/31/2022,94102,2013,Flex-Fuel,OTHER/UNK,Unk,5,Other,0
12/31/2022,94102,2013,Battery Electric,OTHER/UNK,Light,5,EV,1
12/31/2022,94102,2013,Plug-in Hybrid,OTHER/UNK,Light,6,Other,0
12/31/2022,94102,2014,Gasoline,OTHER/UNK,Heavy,1,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,OTHER/UNK,Light,93,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,OTHER/UNK,Unk,17,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,FORD,Light,18,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,MERCEDES-BENZ,Light,14,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,VOLKSWAGEN,Light,11,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,HONDA,Light,36,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,NISSAN,Light,25,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,TOYOTA,Light,40,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,MAZDA,Light,12,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,BMW,Light,23,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,LEXUS,Light,11,ICE_Gas,0
12/31/2022,94102,2014,Gasoline,SUBARU,Light,22,ICE_Gas,0
12/31/2022,94102,2014,Hybrid Gasoline,OTHER/UNK,Light,15,Hybrid,0
12/31/2022,94102,2014,Hybrid Gasoline,TOYOTA,Light,39,Hybrid,0
12/31/2022,94102,2014,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,1,Other,0
12/31/2022,94102,2014,Diesel and Diesel Hybrid,OTHER/UNK,Light,5,Other,0
12/31/2022,94102,2014,Flex-Fuel,OTHER/UNK,Light,10,Other,0
12/31/2022,94102,2014,Flex-Fuel,OTHER/UNK,Unk,3,Other,0
12/31/2022,94102,2014,Battery Electric,OTHER/UNK,Light,4,EV,1
12/31/2022,94102,2014,Plug-in Hybrid,OTHER/UNK,Light,8,Other,0
12/31/2022,94102,2015,Gasoline,OTHER/UNK,Heavy,1,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,OTHER/UNK,Light,63,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,OTHER/UNK,Unk,10,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,FORD,Light,16,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,MERCEDES-BENZ,Light,25,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,VOLKSWAGEN,Light,17,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,JEEP,Light,11,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,HONDA,Light,51,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,NISSAN,Light,25,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,TOYOTA,Light,69,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,MAZDA,Light,19,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,BMW,Light,30,ICE_Gas,0
12/31/2022,94102,2015,Gasoline,HYUNDAI,Light,14,ICE_Gas,0
